Date,Open,High,Low,Close,Adj Close,Volume
2020-09-02,298.880005,303.600006,293.049988,302.500000,302.500000,24341400
2020-09-03,295.989990,297.600006,283.630005,291.119995,291.119995,32294100
2020-09-04,287.250000,289.000000,271.140015,282.730011,282.730011,30333700
2020-09-08,271.279999,279.299988,269.420013,271.160004,271.160004,24864000
2020-09-09,275.769989,278.480011,271.350006,273.720001,273.720001,22918800
2020-09-10,275.510010,279.160004,267.029999,268.089996,268.089996,24814700
2020-09-11,270.059998,271.390015,262.640015,266.609985,266.609985,18913900
2020-09-14,270.950012,276.640015,265.700012,266.149994,266.149994,24093800
2020-09-15,270.670013,274.519989,269.299988,272.420013,272.420013,18478500
2020-09-16,267.290009,272.440002,261.790009,263.519989,263.519989,29183400
2020-09-17,258.279999,261.500000,250.190002,254.820007,254.820007,31281400
2020-09-18,258.399994,259.200012,250.050003,252.529999,252.529999,28130800
2020-09-21,247.539993,249.949997,244.130005,248.149994,248.149994,24709400
2020-09-22,253.309998,255.320007,248.220001,254.750000,254.750000,30293100
2020-09-23,255.259995,257.989990,248.149994,249.020004,249.020004,19641300
2020-09-24,246.500000,252.240005,245.619995,249.529999,249.529999,20006800
2020-09-25,249.399994,255.750000,246.610001,254.820007,254.820007,18351300
2020-09-28,259.399994,259.600006,254.820007,256.820007,256.820007,18826300
2020-09-29,257.809998,263.329987,256.899994,261.790009,261.790009,20200200
2020-09-30,261.980011,266.079987,260.100006,261.899994,261.899994,20105800
2020-10-01,265.350006,268.329987,264.799988,266.630005,266.630005,20009800
2020-10-02,261.209991,265.149994,259.179993,259.940002,259.940002,16367600
2020-10-05,262.200012,264.869995,260.839996,264.649994,264.649994,12822300
2020-10-06,261.779999,265.690002,258.239990,258.660004,258.660004,18696900
2020-10-07,259.209991,260.179993,254.820007,258.119995,258.119995,23133400
2020-10-08,259.750000,264.619995,259.149994,263.760010,263.760010,16312800
2020-10-09,264.519989,264.750000,262.170013,264.450012,264.450012,14107800
2020-10-12,270.200012,280.179993,267.869995,275.750000,275.750000,31019300
2020-10-13,277.579987,279.100006,273.390015,276.140015,276.140015,18063300
2020-10-14,277.619995,278.750000,271.500000,271.820007,271.820007,15601200
2020-10-15,267.600006,269.040009,263.670013,266.720001,266.720001,15416100
2020-10-16,267.380005,271.369995,265.299988,265.929993,265.929993,16622700
2020-10-19,265.529999,268.549988,259.880005,261.399994,261.399994,13587000
2020-10-20,263.059998,269.700012,262.880005,267.559998,267.559998,18763200
2020-10-21,279.559998,283.049988,276.369995,278.730011,278.730011,28998600
2020-10-22,279.869995,282.450012,275.040009,278.119995,278.119995,16720000
2020-10-23,278.799988,285.239990,276.820007,284.790009,284.790009,17535200
2020-10-26,283.160004,285.230011,274.260010,277.109985,277.109985,21322900
2020-10-27,278.760010,284.510010,276.309998,283.290009,283.290009,16287200
2020-10-28,278.790009,278.790009,267.260010,267.670013,267.670013,23121800
2020-10-29,276.549988,283.600006,273.779999,280.829987,280.829987,32368100
2020-10-30,274.500000,276.700012,259.100006,263.109985,263.109985,47247800
2020-11-02,264.600006,270.470001,257.339996,261.359985,261.359985,27165700
2020-11-03,263.160004,270.049988,260.880005,265.299988,265.299988,17961900
2020-11-04,281.000000,288.940002,278.619995,287.380005,287.380005,35364400
2020-11-05,291.899994,297.380005,288.950012,294.679993,294.679993,23823600
2020-11-06,293.950012,294.600006,288.059998,293.410004,293.410004,13891000
2020-11-09,289.869995,292.579987,278.529999,278.769989,278.769989,25117700
2020-11-10,273.100006,274.000000,264.000000,272.429993,272.429993,29067700
2020-11-11,273.470001,278.399994,272.480011,276.480011,276.480011,14957000
2020-11-12,277.179993,279.750000,274.429993,275.079987,275.079987,12899500
2020-11-13,277.720001,277.760010,273.100006,276.950012,276.950012,10391200
2020-11-16,275.049988,279.410004,274.630005,278.959991,278.959991,12970400
2020-11-17,277.679993,277.679993,273.290009,275.000000,275.000000,15040300
2020-11-18,274.519989,277.390015,271.839996,271.970001,271.970001,12152900
2020-11-19,271.019989,273.470001,269.190002,272.940002,272.940002,12963700
2020-11-20,272.559998,273.000000,269.410004,269.700012,269.700012,18114700
2020-11-23,270.890015,270.950012,264.529999,268.429993,268.429993,20975800
